,DisNo.,Historic,Classification Key,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,State,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update,Season
339,2014-0192-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Kansas, Nebraska, New Mexico, North Dakota, Oklahoma, South Dakota, Texas, Wyoming, Arizona, Idaho, Montana, Nevada, New Mexico, Utah, Wyoming, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut provinces",Oklahoma,,Hail,No,0,0,,110.0,Kph,,,,2014,5,18.0,2014,5.0,23.0,,,,,,,,2900000.0,3732572.0,3900000.0,5019666.0,77.69440613455986,"[{""adm1_code"":3216,""adm1_name"":""Arizona""},{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3226,""adm1_name"":""Idaho""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3242,""adm1_name"":""Nevada""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3258,""adm1_name"":""Utah""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2014-06-23,2023-09-25,Spring
340,2014-0263-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",Texas,,Flood|Hail,No,0,0,,60.0,Kph,,,,2014,7,26.0,2014,7.0,27.0,,,300.0,,300.0,,,200000.0,257419.0,270000.0,347515.0,77.69440613455986,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2014-08-28,2023-09-25,Summer
340,2014-0263-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",Kansas,,Flood|Hail,No,0,0,,60.0,Kph,,,,2014,7,26.0,2014,7.0,27.0,,,300.0,,300.0,,,200000.0,257419.0,270000.0,347515.0,77.69440613455986,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2014-08-28,2023-09-25,Summer
340,2014-0263-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Colorado, Kansas, Montana, Nebraska, New Mexico, North Dakota, Oklahoma, Texas, Wyoming, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, New York, New Jersey, Pennsylvania, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, Tennessee provinces",Oklahoma,,Flood|Hail,No,0,0,,60.0,Kph,,,,2014,7,26.0,2014,7.0,27.0,,,300.0,,300.0,,,200000.0,257419.0,270000.0,347515.0,77.69440613455986,"[{""adm1_code"":3219,""adm1_name"":""Colorado""},{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3240,""adm1_name"":""Montana""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3245,""adm1_name"":""New Mexico""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm1_code"":3264,""adm1_name"":""Wyoming""}]",2014-08-28,2023-09-25,Summer
342,2014-0317-USA,No,nat-hyd-flo-riv,Hydrological,Flood,Riverine flood,,,USA,United States of America,Northern America,Americas,"Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Maine, New Hampshire, Vermont, Massachusetts, Rhode Island, Connecticut, New York, New Jersey, Pennsylvanie, Maryland provinces",Kansas,Excessive rainfall,,No,0,0,,,Km2,,,,2014,8,11.0,2014,8.0,13.0,2.0,,102000.0,,102000.0,,,540000.0,695031.0,1600000.0,2059350.0,77.69440613455986,"[{""adm1_code"":3220,""adm1_name"":""Connecticut""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3233,""adm1_name"":""Maine""},{""adm1_code"":3234,""adm1_name"":""Maryland""},{""adm1_code"":3235,""adm1_name"":""Massachusetts""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3237,""adm1_name"":""Minnesota""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3241,""adm1_name"":""Nebraska""},{""adm1_code"":3243,""adm1_name"":""New Hampshire""},{""adm1_code"":3244,""adm1_name"":""New Jersey""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3248,""adm1_name"":""North Dakota""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3253,""adm1_name"":""Rhode Island""},{""adm1_code"":3255,""adm1_name"":""South Dakota""},{""adm1_code"":3259,""adm1_name"":""Vermont""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""}]",2014-09-24,2023-09-25,Summer
344,2014-0444-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",Mississippi,,Hail|Lightening,No,0,1,,160.0,Kph,,,,2014,10,12.0,2014,10.0,14.0,2.0,,,,,,,100000.0,128709.0,170000.0,218806.0,77.69440613455986,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2014-11-07,2023-09-25,Fall
344,2014-0444-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",Arkansas,,Hail|Lightening,No,0,1,,160.0,Kph,,,,2014,10,12.0,2014,10.0,14.0,2.0,,,,,,,100000.0,128709.0,170000.0,218806.0,77.69440613455986,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2014-11-07,2023-09-25,Fall
344,2014-0444-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",Louisiana,,Hail|Lightening,No,0,1,,160.0,Kph,,,,2014,10,12.0,2014,10.0,14.0,2.0,,,,,,,100000.0,128709.0,170000.0,218806.0,77.69440613455986,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2014-11-07,2023-09-25,Fall
344,2014-0444-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",Texas,,Hail|Lightening,No,0,1,,160.0,Kph,,,,2014,10,12.0,2014,10.0,14.0,2.0,,,,,,,100000.0,128709.0,170000.0,218806.0,77.69440613455986,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2014-11-07,2023-09-25,Fall
344,2014-0444-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Arkansas, Louisiana, Alabama, Mississippi, Kentucky, Illinois, Texas provinces",Kansas,,Hail|Lightening,No,0,1,,160.0,Kph,,,,2014,10,12.0,2014,10.0,14.0,2.0,,,,,,,100000.0,128709.0,170000.0,218806.0,77.69440613455986,"[{""adm1_code"":3214,""adm1_name"":""Alabama""},{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3227,""adm1_name"":""Illinois""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3232,""adm1_name"":""Louisiana""},{""adm1_code"":3238,""adm1_name"":""Mississippi""},{""adm1_code"":3257,""adm1_name"":""Texas""}]",2014-11-07,2023-09-25,Fall
348,2014-0540-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Blair area (Washington district, Nebraska province), Iowa, Kansas, Arkansas, Wyoming provinces",Arkansas,,Hail,No,0,0,,128.0,Kph,,,,2014,6,3.0,2014,6.0,6.0,2.0,36.0,,,36.0,,,1300000.0,1673222.0,1600000.0,2059350.0,77.69440613455986,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3264,""adm1_name"":""Wyoming""},{""adm2_code"":30420,""adm2_name"":""Washington""}]",2015-03-27,2023-09-25,Summer
348,2014-0540-USA,No,nat-met-sto-lig,Meteorological,Storm,Lightning/Thunderstorms,,,USA,United States of America,Northern America,Americas,"Blair area (Washington district, Nebraska province), Iowa, Kansas, Arkansas, Wyoming provinces",Kansas,,Hail,No,0,0,,128.0,Kph,,,,2014,6,3.0,2014,6.0,6.0,2.0,36.0,,,36.0,,,1300000.0,1673222.0,1600000.0,2059350.0,77.69440613455986,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3264,""adm1_name"":""Wyoming""},{""adm2_code"":30420,""adm2_name"":""Washington""}]",2015-03-27,2023-09-25,Summer
352,2015-0046-USA,No,nat-met-sto-bli,Meteorological,Storm,Blizzard/Winter storm,,Storm Octavia,USA,United States of America,Northern America,Americas,"Tennessee, Kansas, District of Columbia, Boston, Ohio, Virginia, Georgia, North Carolina, South Carolina provinces",Kansas,,Cold wave,No,0,1,,,Kph,,,,2015,2,16.0,2015,2.0,22.0,10.0,,,,,,,75000.0,96418.0,100000.0,128557.0,77.78656765992335,"[{""adm1_code"":3222,""adm1_name"":""District of Columbia""},{""adm1_code"":3224,""adm1_name"":""Georgia""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3254,""adm1_name"":""South Carolina""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3260,""adm1_name"":""Virginia""}]",2015-02-18,2023-09-25,Winter
355,2015-0122-USA,No,nat-met-sto-bli,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"New York, Pennsylvania, Kentucky, West Virginia, Arkansas provinces",Arkansas,,,No,0,0,,,Kph,,,,2015,3,3.0,2015,3.0,5.0,13.0,,,,,,,100000.0,128557.0,170000.0,218547.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2015-04-09,2023-09-25,Spring
355,2015-0122-USA,No,nat-met-sto-bli,Meteorological,Storm,Blizzard/Winter storm,,,USA,United States of America,Northern America,Americas,"New York, Pennsylvania, Kentucky, West Virginia, Arkansas provinces",Kansas,,,No,0,0,,,Kph,,,,2015,3,3.0,2015,3.0,5.0,13.0,,,,,,,100000.0,128557.0,170000.0,218547.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3246,""adm1_name"":""New York""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3262,""adm1_name"":""West Virginia""}]",2015-04-09,2023-09-25,Spring
356,2015-0123-USA,No,nat-met-sto-tor,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",Kansas,,Hail,No,0,0,,110.0,Kph,,,,2015,3,25.0,2015,3.0,26.0,1.0,12.0,3300.0,,3312.0,,,450000.0,578506.0,500000.0,642784.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm2_code"":30821,""adm2_name"":""Cleveland""},{""adm2_code"":30864,""adm2_name"":""Osage""},{""adm2_code"":30879,""adm2_name"":""Tulsa""}]",2015-04-09,2023-09-25,Spring
356,2015-0123-USA,No,nat-met-sto-tor,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",Oklahoma,,Hail,No,0,0,,110.0,Kph,,,,2015,3,25.0,2015,3.0,26.0,1.0,12.0,3300.0,,3312.0,,,450000.0,578506.0,500000.0,642784.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm2_code"":30821,""adm2_name"":""Cleveland""},{""adm2_code"":30864,""adm2_name"":""Osage""},{""adm2_code"":30879,""adm2_name"":""Tulsa""}]",2015-04-09,2023-09-25,Spring
356,2015-0123-USA,No,nat-met-sto-tor,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Moore area (Cleveland district, Oklahoma province), Osage, Tulsa districts (Oklahoma province), Kansas, Missouri, Arkansas provinces",Arkansas,,Hail,No,0,0,,110.0,Kph,,,,2015,3,25.0,2015,3.0,26.0,1.0,12.0,3300.0,,3312.0,,,450000.0,578506.0,500000.0,642784.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm2_code"":30821,""adm2_name"":""Cleveland""},{""adm2_code"":30864,""adm2_name"":""Osage""},{""adm2_code"":30879,""adm2_name"":""Tulsa""}]",2015-04-09,2023-09-25,Spring
357,2015-0138-USA,No,nat-met-sto-tor,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",Arkansas,,Flood|Hail,No,0,0,,,Kph,,,,2015,4,7.0,2015,4.0,10.0,3.0,12.0,,,12.0,,,990000.0,1272713.0,1400000.0,1799797.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3262,""adm1_name"":""West Virginia""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm2_code"":29292,""adm2_name"":""DeKalb""},{""adm2_code"":29343,""adm2_name"":""Ogle""}]",2015-04-14,2023-09-25,Spring
357,2015-0138-USA,No,nat-met-sto-tor,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",Texas,,Flood|Hail,No,0,0,,,Kph,,,,2015,4,7.0,2015,4.0,10.0,3.0,12.0,,,12.0,,,990000.0,1272713.0,1400000.0,1799797.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3262,""adm1_name"":""West Virginia""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm2_code"":29292,""adm2_name"":""DeKalb""},{""adm2_code"":29343,""adm2_name"":""Ogle""}]",2015-04-14,2023-09-25,Spring
357,2015-0138-USA,No,nat-met-sto-tor,Meteorological,Storm,Tornado,,,USA,United States of America,Northern America,Americas,"Fairdale area (DeKalb district, Illinois province), Rochelle town (Ogle district, Illinois province), Missouri, North Carolina, Indiana, Ohio, Kentucky, Texas, Iowa, Arkansas, Michigan, West Virginia, Wisconsin, Pennsylvania, Oklahoma, Kansas, Tennessee provinces",Kansas,,Flood|Hail,No,0,0,,,Kph,,,,2015,4,7.0,2015,4.0,10.0,3.0,12.0,,,12.0,,,990000.0,1272713.0,1400000.0,1799797.0,77.78656765992335,"[{""adm1_code"":3217,""adm1_name"":""Arkansas""},{""adm1_code"":3228,""adm1_name"":""Indiana""},{""adm1_code"":3229,""adm1_name"":""Iowa""},{""adm1_code"":3230,""adm1_name"":""Kansas""},{""adm1_code"":3231,""adm1_name"":""Kentucky""},{""adm1_code"":3236,""adm1_name"":""Michigan""},{""adm1_code"":3239,""adm1_name"":""Missouri""},{""adm1_code"":3247,""adm1_name"":""North Carolina""},{""adm1_code"":3249,""adm1_name"":""Ohio""},{""adm1_code"":3250,""adm1_name"":""Oklahoma""},{""adm1_code"":3252,""adm1_name"":""Pennsylvania""},{""adm1_code"":3256,""adm1_name"":""Tennessee""},{""adm1_code"":3257,""adm1_name"":""Texas""},{""adm1_code"":3262,""adm1_name"":""West Virginia""},{""adm1_code"":3263,""adm1_name"":""Wisconsin""},{""adm2_code"":29292,""adm2_name"":""DeKalb""},{""adm2_code"":29343,""adm2_name"":""Ogle""}]",2015-04-14,2023-09-25,Spring
